row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
781,1145,Portogallo,"Braga, frazione di Espinho",Nostra Signora di Sameiro,12-6-1904,B.P.,sì,1,place+year,deiparae-immaculatae-simulacrum-braga,Braga,Deiparae Immaculatae simulacrum,1904,AAS,yes,ERR - Frate Anselmo: data l'incoronazione 4 dicembre 1904.
782,1076,Italia,Torino,Madonna della Consolata,18-6-1904,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
783,1036,Italia,Milano,Madonna dell'Albero,24-6-1904,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 24 giugno 1904. Nessun riferimento in internet.
784,853,Germania,Telgte,Nostra Signora Addolorata,3-7-1904,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
785,761,Stati Uniti d'America,New York City,Nostra Signora del Carmine,10-7-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
786,940,Italia,Campogalliano,Madonna della Sassòla,14-8-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con quella di incoronazione.
787,754,Messico,San Giovanni dei Laghi,Nostra Signora di San Giovanni dei Laghi,15-8-1904,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 4 dicembre 1904. ERR - Bonci: data l'incoronazione 4 dicembre 1904.
788,1210,Spagna,Lugo,Vergine dagli Occhi Grandi,15-8-1904,B.P.,sì,1,place+title+year,virgen-de-los-ojos-grandes-lugo,Lugo,Virgen de Los Ojos Grandes,1904-08-15,LIT,yes,ERR - Frate Anselmo: data l'incoronazione 22 giugno 1904
789,902,Italia,Sessa Aurunca,Madonna Avvocata del Popolo,1-9-1904,Capitolo,sì,1,place+title+year,madonna-avvocata-del-popolo-sessa-aurunca,Sessa Aurunca,Madonna Avvocata del Popolo,1904-09-11,AAS+LIT,yes,ERR - Frate Anselmo: data l'incoronazione 11 settembre 1904.
790,771,Brasile,Aparecida,Nostra Signora della Concezione Aparecida,8-9-1904,Capitolo,sì,1,place+title+year,nossa-senhora-da-conceicao-aparecida-aparecida,Aparecida,Nossa Senhora da Conceição Aparecida,1904-09-08,AAS+LIT,yes,"ERR - Frate Anselmo: riporta la data 28 dicembre 1903 e tra parentesi (Decretata); la colloca a San Paolo. Inoltre, riporta due registrazioni per questa Madonna, una alla data 28 dicembre 1903 (scrivendo tra parentesi: Decretata) e l'altra 8 settembre 1904."
791,1140,Polonia,Tarnobrzeg,Nostra Signora di Dzikòw,8-9-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data dell'incoronazione; la colloca a Dzikowic e la titola: Santa Maria Miracolosa.
792,1028,Italia,Tignale,Madonna di Monte Castello,8-9-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la dat del decreto con la data di incoronazione.
793,1059,Italia,"Gavi, borgata di Valle",Madonna delle Grazie,8-9-1904,Capitolo,sì,1,place+title+year,madonna-delle-grazie-di-valle-gavi-valle,Gavi (Valle),Madonna delle Grazie di Valle,1904-09-08,LIT,yes,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
794,842,Francia,Quézac,Nostra Signora di Quézac,11-9-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 25 dicembre 1914.
795,856,Germania,Neviges,Immacolata Concezione,11-9-1904,Capitolo,sì,1,,,,,,,,"ERR - Frate Anselmo: data l'incoronazione 29 aprile 1904, la colloca a Hardenberg e la titola Santa Maria."
796,959,Italia,Sora,Immacolata Concezione,11-9-1904,B.P.,sì,1,,,,,,,,
797,807,Belgio,Arlon,Nostra Signora d'Arlon,14-9-1904,Capitolo,sì,1,place+title+year,notre-dame-reine-de-la-paix-notre-dame-d-arlon-a,Arlon,"Notre Dame Reine de la Paix, Notre Dame d’Arlon",1904-09-14,LIT,yes,"ERR - Frate Anselmo: data l'incoronazione 17 luglio 1904, la colloca ad Arlun e la titola: Santa Maria, nella Chiesa di Santo Donato."
798,916,Italia,"Ottaviano, frazione di San Gennarello",Immacolata Concezione,15-9-1904,Capitolo,sì,1,,,,,,,,"ERR - Frate Anselmo: la colloca a Nola, a San Gennariello."
799,1070,Italia,Carmagnola,Immacolata Concezione,25-9-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
800,1134,Polonia,Tuchow,Nostra Signora della Visitazione,2-10-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 6 luglio 1904
801,1188,Spagna,Reus,Vergine della Misericordia,9-10-1904,B.P.,sì,1,place+title+year,mare-de-deu-de-la-misericordia-reus,Reus,Mare de Déu de La Misericòrdia,1904-10-09,LIT,yes,ERR - Frate Anselmo: data l'incoronazione 11 giugno 1904.
802,746,Canada,Trois-Rivières,Nostra Signora del Capo,12-10-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
803,1031,Italia,Dongo,Madonna del Fiume,23-10-1904,B.P.,sì,1,,,,,,,,
804,1162,Spagna,Siviglia,Vergine dei Re,4-12-1904,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data di incoronazione.
805,918,Italia,Portici,Immacolata Concezione,4-12-1904,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 4 dicembre 1904 con Breve Papale. Nessun riferimento in internet.
806,1075,Italia,Torino,Immacolata Concezione,4-12-1904,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 4 dicembre 1904 con Breve Papale. Nessun riferimento in internet.
807,810,Città del Vaticano,Città del Vaticano,Immacolata Concezione,8-12-1904,Papa Pio X,sì,2,rome-title+title,santa-maria-della-concezione-in-s-lorenzo-e-dama,"Rome, San Lorenzo in Damaso","Santa Maria della Concezione in S. Lorenzo, e Damaso",1635,LIT,no,ERR - Frate Anselmo: la colloca a Roma.
